activity_id,opportunity_id,activity_type,activity_date
ACT000540,OPP00228,call,2025-03-07
ACT000541,OPP00228,linkedin,2025-01-27
ACT000542,OPP00228,call,2025-01-25
ACT000543,OPP00229,call,2025-01-23
ACT000544,OPP00229,meeting_online,2025-01-23
ACT000545,OPP00229,linkedin,2025-01-23
ACT000546,OPP00229,call,2025-01-23
ACT000547,OPP00229,linkedin,2025-01-23
ACT000548,OPP00230,call,2025-01-16
ACT000549,OPP00230,linkedin,2025-02-04
ACT000550,OPP00230,call,2025-02-24
ACT000551,OPP00233,call,2025-02-14
ACT000552,OPP00233,meeting_f2f,2025-03-19
ACT000553,OPP00234,call,2025-02-17
ACT000554,OPP00234,linkedin,2025-02-28
ACT000555,OPP00235,call,2025-01-17
ACT000556,OPP00235,call,2025-01-12
ACT000557,OPP00235,call,2025-02-02
ACT000558,OPP00235,meeting_online,2025-01-13
ACT000559,OPP00235,meeting_online,2025-01-12
ACT000560,OPP00236,meeting_f2f,2025-02-23
ACT000561,OPP00236,meeting_online,2025-02-09
ACT000562,OPP00236,call,2025-03-15
ACT000563,OPP00237,linkedin,2025-04-11
ACT000564,OPP00237,linkedin,2025-05-19
ACT000565,OPP00237,call,2025-02-28
ACT000566,OPP00237,meeting_online,2025-02-23
ACT000567,OPP00237,,2025-04-28
ACT000568,OPP00237,meeting_online,2025-03-28
ACT000569,OPP00238,linkedin,2025-03-25
ACT000570,OPP00238,meeting_online,2025-03-09
ACT000571,OPP00239,meeting_online,2025-05-27
ACT000572,OPP00240,call,2025-03-22
ACT000573,OPP00240,call,2025-04-18
ACT000574,OPP00241,linkedin,2025-03-13
ACT000575,OPP00243,call,2025-02-28
ACT000576,OPP00243,linkedin,2025-02-24
ACT000577,OPP00244,linkedin,2025-03-04
ACT000578,OPP00244,linkedin,2025-03-14
ACT000579,OPP00245,meeting_f2f,2025-03-08
ACT000580,OPP00246,meeting_online,2025-02-06
ACT000581,OPP00247,call,2025-05-21
ACT000582,OPP00247,call,2025-04-15
ACT000583,OPP00247,call,2025-04-29
ACT000584,OPP00247,call,2025-04-12
ACT000585,OPP00248,meeting_f2f,2025-04-03
ACT000586,OPP00248,meeting_online,2025-04-20
ACT000587,OPP00249,linkedin,2025-05-01
ACT000588,OPP00250,call,2025-02-09
ACT000589,OPP00250,meeting_online,2025-02-09
ACT000590,OPP00250,call,2025-02-09
ACT000591,OPP00251,call,2025-03-01
ACT000592,OPP00251,meeting_online,2025-04-03
ACT000593,OPP00251,call,2025-03-18
ACT000594,OPP00251,meeting_online,2025-03-10
ACT000595,OPP00252,meeting_online,2025-03-20
ACT000596,OPP00252,meeting_online,2025-03-13
ACT000597,OPP00252,call,2025-03-17
ACT000598,OPP00253,call,2025-03-13
ACT000599,OPP00253,call,2025-03-17
ACT000600,OPP00253,meeting_online,2025-03-24
ACT000601,OPP00254,call,2025-04-26
ACT000602,OPP00254,call,2025-05-18
ACT000603,OPP00254,meeting_f2f,2025-03-02
ACT000604,OPP00254,meeting_online,2025-04-28
ACT000605,OPP00254,linkedin,2025-03-06
ACT000606,OPP00255,call,2025-04-11
ACT000607,OPP00255,meeting_f2f,2025-03-02
ACT000608,OPP00256,linkedin,2025-06-16
