opportunity_id,created_date,closed_date,arr,status,salesperson_id,source,type,account_id
OPP00077,2025-01-15,2025-05-08,13500,qualified,SP004,marketing,new business,ACC0098
OPP00078,2025-01-11,2025-05-13,10500,created,SP004,marketing,new business,ACC0063
OPP00079,2025-01-29,2025-03-14,16000,created,SP005,marketing,new business,ACC0078
OPP00080,2025-01-25,2025-05-31,11000,qualified,SP004,cold prospection,upsell,ACC0094
OPP00081,2025-01-08,2025-04-22,7500,created,SP005,marketing,new business,ACC0094
OPP00082,2025-01-14,2025-05-18,10500,qualified,SP006,cold prospection,new business,ACC0078
OPP00083,2025-01-24,2025-04-22,23000,created,SP004,cold prospection,new business,ACC0040
OPP00084,2025-01-24,2025-04-11,19000,won,SP005,referral,new business,ACC0036
OPP00085,2025-01-27,2025-03-10,6500,created,SP004,cold prospection,new business,ACC0038
OPP00086,2025-01-02,2025-02-07,15000,created,SP004,cold prospection,new business,ACC0078
OPP00087,2025-01-01,2025-04-02,14000,qualified,SP006,cold prospection,upsell,ACC0038
OPP00088,2025-01-28,2025-03-30,27500,lost,SP005,marketing,new business,ACC0018
OPP00089,2025-01-22,2025-04-24,9500,created,SP004,cold prospection,new business,ACC0023
OPP00090,2025-01-18,2025-05-12,10500,qualified,SP005,marketing,new business,ACC0083
OPP00091,2025-01-15,2025-04-14,10500,qualified,SP005,marketing,new business,ACC0109
OPP00092,2025-01-24,2025-03-12,3500,created,SP004,cold prospection,new business,ACC0098
OPP00093,2025-01-18,2025-04-05,14000,created,SP004,cold prospection,new business,ACC0030
OPP00094,2025-01-10,2025-03-19,18500,won,SP006,cold prospection,new business,ACC0038
OPP00095,2025-01-09,2025-02-13,16000,won,SP006,marketing,new business,ACC0081
OPP00096,2025-01-21,2025-02-28,6000,created,SP004,cold prospection,new business,ACC0119
OPP00097,2025-01-24,2025-02-28,5000,created,SP006,cold prospection,new business,ACC0119
OPP00098,2025-01-09,2025-02-23,11500,qualified,SP006,event,upsell,ACC0078
OPP00099,2025-01-20,2025-05-06,11000,created,SP005,referral,new business,ACC0009
OPP00100,2025-01-25,2025-02-19,8000,created,SP006,marketing,new business,ACC0108
OPP00101,2025-01-15,2025-03-21,14500,lost,SP005,marketing,new business,ACC0030
OPP00102,2025-01-03,2025-03-20,19500,qualified,SP005,cold prospection,upsell,ACC0050
OPP00103,2025-01-23,2025-03-25,45000,won,SP005,marketing,upsell,ACC0038
OPP00104,2025-01-15,2025-02-18,15500,created,SP004,marketing,new business,ACC0040
OPP00105,2025-01-01,2025-03-29,13500,qualified,SP006,marketing,new business,ACC0109
OPP00106,2025-01-16,2025-02-21,15500,won,SP006,cold prospection,new business,ACC0060
OPP00107,2025-01-10,2025-02-04,5500,won,SP005,marketing,new business,ACC0113
OPP00108,2025-01-26,2025-04-26,6500,created,SP004,cold prospection,new business,ACC0094
OPP00109,2025-01-27,2025-04-29,16500,lost,SP004,marketing,upsell,ACC0060
OPP00110,2025-01-23,2025-03-27,62000,won,SP005,referral,upsell,ACC0076
OPP00111,2025-01-08,2025-02-21,12500,created,SP005,event,new business,ACC0078
OPP00112,2025-01-28,2025-04-01,19000,lost,SP004,event,new business,ACC0036
OPP00113,2025-01-09,2025-04-04,15500,won,SP004,marketing,new business,ACC0038
OPP00114,2025-01-28,2025-01-24,7000,qualified,SP004,cold prospection,upsell,ACC0060
OPP00115,2025-01-30,2025-05-19,15500,created,SP005,event,new business,ACC0109
OPP00116,2025-01-14,2025-03-13,24000,won,SP004,marketing,new business,ACC0040
OPP00117,2025-01-27,2025-03-07,18500,qualified,SP006,cold prospection,upsell,ACC0023
OPP00118,2025-01-04,2025-04-07,6500,qualified,SP005,event,new business,ACC0018
OPP00119,2025-01-05,2025-02-17,34500,lost,SP004,marketing,new business,ACC0063
OPP00120,2025-01-21,2025-05-22,8000,qualified,SP004,cold prospection,new business,ACC0109
OPP00121,2025-01-23,2025-05-17,16000,qualified,SP005,referral,new business,ACC0109
OPP00122,2025-01-08,2025-02-24,53500,qualified,SP006,cold prospection,new business,ACC0016
OPP00123,2025-01-06,2025-01-21,9500,lost,SP006,cold prospection,new business,ACC0038
OPP00124,2025-01-12,2025-04-09,7000,created,SP005,cold prospection,new business,ACC0056
OPP00125,2025-01-06,2025-04-05,17000,lost,SP004,marketing,new business,ACC0083
OPP00126,2025-01-19,2025-03-27,10500,qualified,SP004,referral,new business,ACC0035
OPP00127,2025-01-15,2025-02-28,6000,qualified,SP005,marketing,new business,ACC0088
OPP00128,2025-01-21,2025-05-29,9000,created,SP005,event,upsell,ACC0094
OPP00129,2025-01-04,2025-04-22,7500,qualified,SP004,cold prospection,new business,ACC0051
OPP00130,2025-01-27,2025-04-29,17500,created,SP006,referral,upsell,ACC0051
OPP00132,2025-01-26,2025-04-25,37500,won,SP005,event,new business,ACC0035
OPP00133,2025-01-25,2025-04-25,10500,lost,SP006,marketing,new business,ACC0088
OPP00134,2025-01-02,2025-04-21,11500,qualified,SP005,referral,new business,ACC0104
OPP00135,2025-01-11,2025-02-16,20000,created,SP006,cold prospection,upsell,ACC0056
OPP00136,2025-01-17,2025-05-22,7000,created,SP005,cold prospection,upsell,ACC0108
OPP00137,2025-01-28,2025-02-26,8500,created,SP005,event,upsell,ACC0104
OPP00138,2025-01-24,2025-04-15,33000,lost,SP006,event,new business,ACC0051
OPP00139,2025-01-01,2025-03-09,5000,created,SP005,marketing,new business,ACC0078
OPP00140,2025-01-27,2025-03-17,11000,created,SP006,referral,new business,ACC0050
OPP00141,2025-01-11,2025-05-16,10000,created,SP007,marketing,new business,ACC0075
OPP00142,2025-01-04,2025-02-21,15000,lost,SP007,cold prospection,upsell,ACC0005
OPP00143,2025-01-08,2025-05-08,45000,qualified,SP007,marketing,new business,ACC0041
OPP00144,2025-01-19,2025-04-01,0,won,SP007,referral,new business,ACC0049
OPP00145,2025-01-09,2025-04-10,31000,qualified,SP007,cold prospection,new business,ACC0093
OPP00146,2025-01-22,2025-04-24,37500,lost,SP007,cold prospection,new business,ACC0064
OPP00147,2025-01-07 00:00:00,2025-01-28 00:00:00,21500,lost,SP007,marketing,new business,ACC0118
OPP00148,2025-01-20,2025-03-02,35000,lost,SP007,event,upsell,ACC0005
OPP00149,2025-01-07,2025-02-12,36500,lost,SP007,event,new business,ACC0106
OPP00150,2025-01-08,2025-04-14,8500,created,SP007,cold prospection,upsell,ACC0102
OPP00151,2025-01-05,2025-04-19,72000,created,SP007,cold prospection,new business,ACC0103
OPP00152,2025-01-26,2025-03-24,32000,qualified,SP007,marketing,new business,ACC0065
OPP00153,2025-01-04,2025-03-26,14500,qualified,SP007,marketing,new business,ACC0058
OPP00154,2025-01-31,2025-05-05,44500,lost,SP007,marketing,new business,ACC0100
OPP00155,2025-01-31,2025-04-02,18000,lost,SP007,cold prospection,new business,ACC0005
OPP00156,2025-01-23,2025-03-15,48000,lost,SP007,cold prospection,new business,ACC0006
OPP00157,2025-01-09,2025-03-27,58500,lost,SP007,marketing,new business,ACC0041
OPP00158,2025-01-14,2025-04-17,19500,won,SP007,event,new business,ACC0103
OPP00159,2025-01-24,2025-03-29,45500,qualified,SP007,cold prospection,upsell,ACC0049
OPP00160,2025-01-24,2025-05-24,31500,qualified,SP007,marketing,upsell,ACC0037
OPP00161,2025-01-16,2025-02-06,48500,lost,SP007,event,new business,ACC0006
OPP00163,2025-01-28,2025-02-13,27000,lost,SP007,marketing,upsell,ACC0118
OPP00164,2025-01-12,2025-03-07,19500,qualified,SP007,cold prospection,new business,ACC0065
OPP00165,2025-01-28,2025-04-21,19000,lost,SP007,marketing,new business,ACC0015
OPP00166,2025-01-18,2025-03-03,20000,lost,SP007,cold prospection,new business,ACC0066
OPP00167,2025-01-25,2025-03-24,31000,qualified,SP007,cold prospection,new business,ACC0037
OPP00168,2025-01-05,2025-02-11,37500,won,SP007,marketing,new business,ACC0006
OPP00169,06/01/2025,29/03/2025,36000,won,SP007,referral,new business,ACC0032
OPP00170,2025-01-05,2025-01-25,49000,won,SP007,marketing,new business,ACC0102
OPP00171,2025-01-16,2025-05-12,20500,created,SP007,cold prospection,new business,ACC0049
OPP00172,2025-01-22,2025-02-06,69000,won,SP007,referral,new business,ACC0062
OPP00173,2025-01-02,2025-02-18,21000,created,SP007,cold prospection,upsell,ACC0022
OPP00174,2025-01-04,2025-02-05,138500,won,SP007,marketing,new business,ACC0058
OPP00175,08/01/2025,17/05/2025,31000,qualified,SP007,referral,new business,ACC0006
OPP00176,2025-01-28,2025-04-24,19000,qualified,SP007,cold prospection,new business,ACC0065
OPP00177,2025-01-01,2025-03-31,17000,lost,SP007,marketing,new business,ACC0021
OPP00178,2025-01-12,2025-02-22,40500,lost,SP007,cold prospection,new business,ACC0049
OPP00179,2025-01-03,2025-03-07,14000,created,SP007,cold prospection,upsell,ACC0118
OPP00180,2025-01-21,2025-06-20,46500,qualified,SP007,referral,new business,ACC0062
OPP00181,21/01/2025,14/03/2025,20000,created,SP007,event,new business,ACC0029
OPP00182,2025-01-21,2025-04-21,30000,lost,SP007,event,new business,ACC0021
OPP00183,2025-01-25,2025-04-17,19500,lost,SP007,referral,new business,ACC0092
OPP00184,2025-01-11,2025-04-16,12000,qualified,SP007,cold prospection,new business,ACC0019
OPP00185,2025-01-02,2025-03-22,15000,created,SP007,event,new business,ACC0062
OPP00186,2025-01-03,2025-03-28,44000,qualified,SP007,event,new business,ACC0066
OPP00187,2025-01-29,2025-04-22,35000,lost,SP007,cold prospection,new business,ACC0055
OPP00188,2025-01-16,2025-06-03,16500,qualified,SP007,event,new business,ACC0005
OPP00189,2025-01-17,2025-04-03,30500,created,SP007,marketing,new business,ACC0005
OPP00191,2025-01-21,2025-05-07,18500,qualified,SP007,event,new business,ACC0006
OPP00192,2025-01-22,2025-05-06,16000,created,SP007,referral,new business,ACC0037
OPP00193,2025-01-23,2025-03-09,26500,qualified,SP007,event,new business,ACC0019
OPP00194,2025-01-27,2025-04-14,16500,won,SP007,marketing,new business,ACC0092
OPP00195,2025-01-17,2025-03-16,40500,qualified,SP007,event,new business,ACC0001
OPP00196,2025-01-07,2025-03-05,34500,created,SP007,event,new business,ACC0019
OPP00197,2025-01-27,2025-06-09,53000,qualified,SP007,cold prospection,new business,ACC0092
OPP00198,2025-01-06,2025-04-03,47000,qualified,SP007,referral,new business,ACC0100
OPP00199,2025-01-20,2025-03-28,14500,won,SP007,cold prospection,new business,ACC0102
OPP00200,2025-01-31,2025-05-17,16000,created,SP007,marketing,upsell,ACC0106
OPP00203,2025-01-28,2025-03-09,22000,created,SP007,cold prospection,upsell,ACC0032
OPP00204,2025-01-14,2025-03-09,258000,lost,SP007,cold prospection,upsell,ACC0029
OPP00205,2025-01-13,2025-02-27,36000,qualified,SP007,referral,new business,ACC0029
OPP00206,2025-01-27,2025-02-20,31500,created,SP007,marketing,upsell,ACC0103
OPP00207,2025-01-05,2025-01-25,15000,won,SP008,cold prospection,new business,ACC0116
OPP00208,2025-01-05,2025-02-14,27500,lost,SP008,cold prospection,new business,ACC0054
OPP00209,2025-01-14,2025-04-07,8500,created,SP008,marketing,new business,ACC0054
OPP00210,2025-01-08,2025-05-01,13500,qualified,SP009,cold prospection,new business,ACC0084
OPP00211,2025-01-22,2025-04-19,9500,created,SP009,marketing,upsell,ACC0111
OPP00212,2025-01-01,2025-03-11,17000,created,SP008,cold prospection,new business,ACC0116
OPP00213,2025-01-26,2025-05-10,46000,created,SP009,,upsell,ACC0111
OPP00214,2025-01-11,2025-03-30,6500,qualified,SP009,event,new business,ACC0007
OPP00215,2025-01-15,2025-02-02,26500,lost,SP008,referral,new business,ACC0073
OPP00216,2025-01-02,2025-02-16,6500,created,SP008,cold prospection,new business,ACC0077
OPP00217,2025-01-13,2025-04-25,7000,created,SP008,event,new business,ACC0084
OPP00218,2025-01-28,2025-04-05,20500,created,SP008,marketing,new business,ACC0084
OPP00219,2025-01-31,2025-04-14,18500,lost,SP008,cold prospection,new business,ACC0111
OPP00220,2025-01-26,2025-02-15,10000,won,SP008,referral,new business,ACC0054
OPP00221,2025-01-06,2025-03-08,9000,created,SP008,marketing,new business,ACC0111
OPP00222,2025-01-14,2025-02-23,26000,qualified,SP009,marketing,upsell,ACC0116
OPP00223,2025-01-14,2025-04-25,10500,created,SP010,event,new business,ACC0025
OPP00224,2025-01-06,2025-03-13,12000,lost,SP010,cold prospection,new business,ACC0061
OPP00225,2025-01-25,2025-05-12,39500,qualified,SP010,marketing,new business,ACC0097
OPP00226,2025-01-12,2025-04-05,24000,lost,SP010,cold prospection,new business,ACC0110
OPP00227,2025-01-11,2025-01-08,5500,lost,SP010,marketing,new business,ACC0072
OPP00228,2025-01-13,2025-03-21,19000,lost,SP010,marketing,new business,ACC0087
OPP00229,23/01/2025,01/06/2025,5000,created,SP010,event,new business,ACC0072
OPP00230,2025-01-03,2025-03-24,27000,won,SP010,referral,new business,ACC0097
OPP00231,2025-01-28,2025-04-13,11000,lost,SP010,referral,new business,ACC0061
OPP00232,2025-01-26,2025-02-08,16000,lost,SP010,marketing,new business,ACC0072
OPP00233,2025-01-15,2025-03-26,20000,created,SP010,marketing,new business,ACC0034
OPP00234,2025-01-25,2025-03-26,20000,created,SP010,marketing,new business,ACC0034
OPP00235,2025-01-12,2025-02-07,9000,lost,SP010,referral,new business,ACC0061
OPP00236,2025-02-02,2025-03-15,5500,created,SP001,cold prospection,upsell,ACC0082
OPP00237,2025-02-17,2025-05-29,30500,created,SP002,marketing,new business,ACC0011
OPP00238,2025-02-20,2025-04-17,15000,qualified,SP003,cold prospection,new business,ACC0011
OPP00239,2025-02-20,2025-06-07,4500,qualified,SP003,cold prospection,upsell,ACC0095
OPP00240,2025-02-21,2025-05-15,21500,won,SP003,marketing,new business,ACC0044
OPP00241,2025-02-16,2025-04-15,27000,created,SP003,marketing,upsell,ACC0086
OPP00243,2025-02-07,2025-06-17,4000,created,SP002,event,new business,ACC0095
OPP00244,2025-02-13,2025-04-02,8500,qualified,SP001,cold prospection,new business,ACC0057
OPP00245,2025-02-08,2025-04-18,21500,created,SP001,referral,new business,ACC0013
OPP00246,2025-02-06,2025-01-21,9000,won,SP002,marketing,upsell,ACC0090
OPP00247,2025-02-17,2025-05-01,16500,lost,SP002,referral,new business,ACC0079
OPP00248,2025-02-17,2025-04-23,8500,created,SP002,marketing,new business,ACC0043
OPP00249,2025-02-27,2025-06-10,5500,qualified,SP003,cold prospection,new business,ACC0114
OPP00250,2025-02-09,2025-01-31,12500,lost,SP003,cold prospection,new business,ACC0057
OPP00251,2025-02-18,2025-04-03,1500,qualified,SP001,marketing,new business,ACC0057
OPP00252,2025-02-27,2025-03-25,7500,won,SP003,cold prospection,upsell,ACC0114
OPP00253,2025-02-26,2025-03-26,11500,lost,SP002,marketing,new business,ACC0089
OPP00254,2025-02-17,2025-06-08,3500,created,SP001,marketing,new business,ACC0004
OPP00255,2025-02-20,2025-06-13,26500,qualified,SP003,marketing,new business,ACC0017
OPP00256,2025-02-27,2025-07-18,5500,qualified,SP002,marketing,new business,ACC0091
OPP00257,2025-02-16,2025-04-06,11000,qualified,SP001,event,new business,ACC0057
OPP00258,2025-02-24,2025-05-15,7500,created,SP003,referral,new business,ACC0105
OPP00259,2025-02-19,2025-05-14,28500,won,SP003,marketing,new business,ACC0042
OPP00260,2025-02-24,2025-06-11,3000,created,SP003,marketing,new business,ACC0059
OPP00261,2025-02-07,2025-03-18,15000,created,SP001,marketing,new business,ACC0070
OPP00262,2025-02-20,2025-05-07,0,won,SP002,cold prospection,new business,ACC0008
OPP00263,2025-02-22,2025-04-20,6500,qualified,SP002,marketing,new business,ACC0082
OPP00264,2025-02-22,2025-04-06,17000,won,SP003,cold prospection,new business,ACC0114
OPP00265,2025-02-08,2025-04-07,11500,created,SP002,marketing,new business,ACC0089
OPP00266,2025-02-16,2025-07-02,9500,qualified,SP002,marketing,new business,ACC0074
OPP00267,2025-02-18,2025-03-18,13500,lost,SP002,cold prospection,new business,ACC0067
OPP00268,2025-02-23,2025-05-27,10500,lost,SP001,marketing,new business,ACC0053
OPP00269,2025-02-07,2025-03-23,14000,lost,SP003,marketing,new business,ACC0045
OPP00270,2025-02-19,2025-05-17,9500,created,SP001,cold prospection,new business,ACC0043
OPP00271,2025-02-11,2025-06-09,14500,created,SP003,referral,upsell,ACC0074
OPP00272,2025-02-06,2025-04-17,6500,lost,SP002,cold prospection,new business,ACC0107
OPP00273,2025-02-10,2025-03-03,42000,won,SP002,cold prospection,new business,ACC0046
OPP00274,2025-02-24,2025-03-28,4500,lost,SP003,event,new business,ACC0004
OPP00275,2025-02-02,2025-05-28,10500,created,SP002,event,upsell,ACC0079
OPP00276,2025-02-01,2025-03-25,18000,won,SP002,referral,new business,ACC0090
OPP00277,2025-02-18,2025-03-17,15000,lost,SP003,marketing,upsell,ACC0079
OPP00278,2025-02-07,2025-04-26,6500,created,SP001,cold prospection,new business,ACC0052
OPP00279,2025-02-11,2025-03-17,11500,won,SP002,event,new business,ACC0090
OPP00280,2025-02-13,2025-05-10,9500,qualified,SP002,cold prospection,new business,ACC0080
OPP00281,2025-02-11,2025-04-02,6000,created,SP001,cold prospection,new business,ACC0002
OPP00282,2025-02-19,2025-06-02,12000,created,SP003,marketing,new business,ACC0090
OPP00283,2025-02-15,2025-05-25,17000,qualified,SP002,event,upsell,ACC0024
OPP00284,2025-02-23,2025-04-11,9000,lost,SP001,cold prospection,new business,ACC0105
OPP00285,2025-02-05,2025-05-28,18500,qualified,SP002,referral,new business,ACC0020
OPP00286,2025-02-25,2025-04-07,15500,lost,SP003,marketing,new business,ACC0112
OPP00287,2025-02-26,2025-07-01,17500,qualified,SP001,cold prospection,upsell,ACC0082
OPP00288,2025-02-27 00:00:00,2025-05-26 00:00:00,9000,created,SP003,marketing,new business,ACC0080
OPP00289,2025-02-04,2025-04-17,8000,won,SP003,marketing,new business,ACC0028
OPP00290,2025-02-26,2025-05-10,6000,created,SP001,marketing,new business,ACC0071
OPP00291,2025-02-26,2025-07-15,13500,qualified,SP002,cold prospection,new business,ACC0003
OPP00292,2025-02-14,2025-03-13,15500,created,SP002,referral,new business,ACC0117
OPP00293,2025-02-02,2025-03-11,10000,created,SP002,marketing,upsell,ACC0068
OPP00294,2025-02-14,2025-05-08,12000,qualified,SP002,marketing,new business,ACC0059
OPP00295,2025-02-18,2025-03-15,26000,lost,SP001,marketing,new business,ACC0107
OPP00296,2025-02-17,2025-03-01,9500,lost,SP001,marketing,upsell,ACC0042
OPP00297,2025-02-24,2025-07-14,14000,qualified,SP003,cold prospection,new business,ACC0069
OPP00298,2025-02-07,2025-05-22,7000,created,SP003,referral,upsell,ACC0014
OPP00299,2025-02-01,2025-05-08,5000,created,SP001,marketing,new business,ACC0028
OPP00300,2025-02-02,2025-04-07,22000,qualified,SP001,event,new business,ACC0004
OPP00301,2025-02-05,2025-05-29,22500,created,SP006,event,new business,ACC0038
OPP00302,2025-02-27,2025-04-06,14500,created,SP005,cold prospection,new business,ACC0035
OPP00303,2025-02-09,2025-03-13,23500,lost,SP004,marketing,new business,ACC0078
OPP00304,2025-02-16,2025-05-22,13500,lost,SP004,marketing,new business,ACC0050
OPP00305,2025-02-23,2025-05-02,9500,created,SP005,cold prospection,new business,ACC0056
OPP00306,2025-02-08,2025-04-18,15000,won,SP005,marketing,upsell,ACC0109
OPP00307,2025/02/14,2025/04/06,9000,created,SP006,cold prospection,new business,ACC0076
OPP00308,2025-02-15,2025-07-06,17000,qualified,SP005,marketing,new business,ACC0016
OPP00309,2025-02-20,2025-06-22,8000,created,SP004,marketing,new business,ACC0109
OPP00310,2025-02-16,2025-04-05,50500,lost,SP004,cold prospection,upsell,ACC0109
OPP00311,2025-02-07,2025-04-19,9000,won,SP006,marketing,upsell,ACC0018
OPP00312,2025-02-23,2025-05-14,8000,lost,SP004,cold prospection,new business,ACC0051
OPP00313,2025-02-15,2025-04-24,25500,qualified,SP006,marketing,upsell,ACC0085
OPP00314,2025-02-26,2025-04-17,24500,lost,SP006,cold prospection,upsell,ACC0063
OPP00315,2025-02-14,2025-03-14,22500,lost,SP004,marketing,new business,ACC0081
OPP00316,2025-02-19,2025-04-14,17500,qualified,SP006,marketing,new business,ACC0096
OPP00317,2025-02-08,2025-04-02,16000,won,SP005,event,new business,ACC0078
OPP00318,2025-02-24,2025-04-21,10000,qualified,SP006,cold prospection,new business,ACC0096
OPP00319,2025-02-18,2025-05-08,16500,lost,SP005,referral,upsell,ACC0030
OPP00320,2025-02-17,2025-05-23,11000,lost,SP004,cold prospection,new business,ACC0108
OPP00321,2025-02-05,2025-03-16,11000,created,SP006,cold prospection,new business,ACC0035
OPP00322,2025-02-20,2025-05-02,15000,lost,SP006,cold prospection,new business,ACC0088
OPP00323,2025-02-18,2025-05-16,7500,created,SP006,cold prospection,new business,ACC0056
OPP00324,2025-02-17,2025-04-15,10000,qualified,SP006,cold prospection,new business,ACC0088
OPP00325,2025-02-07,2025-04-13,10500,created,SP006,cold prospection,new business,ACC0076
OPP00326,2025-02-13,2025-06-02,6000,created,SP005,event,new business,ACC0081
OPP00327,2025-02-21,2025-05-03,6000,created,SP006,cold prospection,new business,ACC0098
OPP00328,2025-02-01,2025-06-09,11500,created,SP006,marketing,upsell,ACC0030
OPP00329,2025-02-28,2025-04-09,14500,qualified,SP004,marketing,upsell,ACC0113
OPP00330,2025-02-19,2025-03-20,9000,created,SP005,marketing,new business,ACC0036
